plating_rowdata_index,plating_line_index,plating_line_element_index,plating_rowdata_date,plating_output_v,plating_output_a,plating_input_v,plating_input_a,plating_internal_temperature,plating_external_temperature,plating_external_humidity
1,1,1,"2021-07-14 11:53:02",3.6,4.5,0,0,0,0,0
2,1,1,"2021-07-14 11:53:02",3.6,4.5,0,0,0,0,0
3,1,1,"2021-07-14 11:53:02",3.6,4.5,0,0,0,0,0
4,1,1,"2021-07-14 11:53:02",3.6,4.5,0,0,0,0,0
5,1,1,"2021-07-14 11:53:03",3.6,4.5,0,0,0,0,0
6,1,1,"2021-07-14 11:53:03",3.6,4.5,0,0,0,0,0
7,1,1,"2021-07-14 11:53:04",3.6,4.5,0,0,0,0,0
8,1,1,"2021-07-14 11:53:04",3.6,4.5,0,0,0,0,0
9,1,1,"2021-07-14 11:53:05",3.6,4.5,0,0,0,0,0
10,1,1,"2021-07-14 11:53:05",3.6,4.5,0,0,0,0,0
11,1,1,"2021-07-14 11:53:23",3.6,4.5,0,0,0,0,0
12,1,1,"2021-07-14 11:53:24",3.6,4.5,0,0,0,0,0
13,1,1,"2021-07-14 11:53:24",3.6,4.5,0,0,0,0,0
14,1,1,"2021-07-14 11:53:24",3.6,4.5,0,0,0,0,0
15,1,1,"2021-07-14 11:53:24",3.6,4.5,0,0,0,0,0
16,1,1,"2021-07-14 11:53:25",3.6,4.5,0,0,0,0,0
17,1,1,"2021-07-14 11:53:25",3.6,4.5,0,0,0,0,0
18,1,1,"2021-07-14 11:53:26",3.6,4.5,0,0,0,0,0
19,1,1,"2021-07-14 11:53:26",3.6,4.5,0,0,0,0,0
20,1,1,"2021-07-14 11:53:27",3.6,4.5,0,0,0,0,0
21,1,1,"2021-07-14 11:53:27",3.6,4.5,0,0,0,0,0
22,1,1,"2021-07-14 11:53:27",3.6,4.5,0,0,0,0,0
23,1,1,"2021-07-14 11:53:28",3.6,4.5,0,0,0,0,0
24,1,1,"2021-07-14 11:53:28",3.6,4.5,0,0,0,0,0
25,1,1,"2021-07-14 11:53:28",3.6,4.5,0,0,0,0,0
26,1,1,"2021-07-14 11:53:29",3.6,4.5,0,0,0,0,0
27,1,1,"2021-07-14 11:53:29",3.6,4.5,0,0,0,0,0
28,1,1,"2021-07-14 11:53:30",3.6,4.5,0,0,0,0,0
29,1,1,"2021-07-14 11:53:30",3.6,4.5,0,0,0,0,0
30,1,1,"2021-07-14 11:53:31",3.6,4.5,0,0,0,0,0
31,1,1,"2021-07-14 11:53:31",3.6,4.5,0,0,0,0,0
32,1,1,"2021-07-14 11:53:31",3.6,4.5,0,0,0,0,0
33,1,1,"2021-07-14 11:53:32",3.6,4.5,0,0,0,0,0
